Gene_Symbol,Chr,Start,End,Strand,GeneLength,MOGSP_2,MOGSP_3,MOG_3,MOG_4,MOG_5,Ly49N_1,Ly49P_1,Ly49N_2,Ly49P_2,Ly49N_3,Ly49P_3
Gm17101,chr1,5063060,5064647,+,1587,0,0,0,0,0,0,0,0,0,0,1
Atp6v1h,chr1,5070018,5162529,+,92511,3108,4306,2481,3748,2695,2890,4361,3179,3794,2997,4367
Gm7182,chr1,5276106,5277337,-,1231,0,0,0,0,0,0,0,2,0,1,0
Gm37567,chr1,5307739,5310017,+,2278,0,0,0,0,0,0,0,0,0,0,0
Gm38264,chr1,5403547,5405578,+,2031,0,0,0,0,0,5,0,0,1,3,0
Oprk1,chr1,5588466,5606131,+,17665,0,0,0,0,0,17,0,19,0,4,1
Gm36965,chr1,5617837,5618230,-,393,0,0,0,0,0,0,0,0,0,1,0
Gm22463,chr1,5644645,5644745,-,100,0,0,0,0,0,1,0,2,0,1,0
Gm37429,chr1,5842874,5844672,-,1798,0,0,0,0,0,8,0,11,0,8,6
Npbwr1,chr1,5913707,5917398,-,3691,0,0,0,0,0,0,0,4,2,1,0
Gm19214,chr1,6048963,6050045,-,1082,0,0,0,0,0,0,0,8,2,2,1
Rb1cc1,chr1,6206197,6276648,+,70451,979,1918,582,2412,3439,868,2096,970,2584,967,3216
4732440D04Rik,chr1,6209866,6215293,-,5427,75,54,79,65,16,63,103,79,134,83,164
Alkal1,chr1,6359218,6394731,+,35513,0,0,0,0,0,2,0,1,0,1,0
Gm2147,chr1,6380394,6381032,+,638,1,1,1,2,0,1,2,0,5,7,6
Gm7417,chr1,6382634,6383106,-,472,0,0,0,0,0,0,1,0,1,0,0
Gm19026,chr1,6429655,6441296,-,11641,0,0,0,0,1,10,1,14,4,7,15
St18,chr1,6487231,6860940,+,373709,0,0,0,0,0,34,1,42,1,38,6
Gm42492,chr1,6861237,6864151,-,2914,0,0,0,0,0,0,0,7,0,3,0
Gm7449,chr1,6910560,6911222,+,662,0,0,0,0,1,1,0,0,0,0,1
Gm37108,chr1,6916559,6923588,+,7029,4,7,11,7,7,6,6,5,9,9,5
Gm37275,chr1,6929759,6929788,+,29,0,0,0,0,0,0,0,0,0,0,0
Gm37225,chr1,6998217,6998541,+,324,0,0,0,0,0,5,0,0,1,1,0
Gm37489,chr1,7013762,7013920,+,158,0,0,0,0,0,0,0,0,0,0,0
Gm5694,chr1,7035915,7037217,+,1302,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,chr1,7088920,7173628,+,84708,1042,1109,898,2114,2251,480,1241,540,1125,562,1652
Gm26983,chr1,7136199,7136586,-,387,0,0,0,0,0,12,10,7,8,11,4
Gm38372,chr1,7148110,7152137,+,4027,0,0,0,0,0,3,2,6,5,17,10
Gm9826,chr1,7177739,7179037,+,1298,2,1,0,0,3,24,8,14,11,21,9
Nras-ps2,chr1,7189742,7189919,-,177,0,0,0,0,0,0,0,0,0,0,0
Gm23274,chr1,7265803,7265932,+,129,0,0,0,0,0,0,0,1,0,1,0
Gm19002,chr1,7315451,7316462,+,1011,0,0,0,0,0,10,0,6,1,0,3
Gm26901,chr1,7349406,7397869,-,48463,12,13,11,8,5,15,20,19,31,20,21
Gm18984,chr1,7410679,7411993,+,1314,0,0,0,0,0,0,0,0,0,0,0
Gm30414,chr1,7497968,7518149,+,20181,0,0,0,0,0,6,0,6,0,6,1
Gm37791,chr1,7591646,7591931,+,285,0,0,0,0,0,0,0,1,0,0,0
Gm7470,chr1,7597379,7599473,+,2094,0,0,0,0,0,0,1,3,0,0,0
Rps2-ps2,chr1,7664081,7664961,+,880,0,0,0,0,1,0,0,1,0,0,0
Gm38216,chr1,7728861,7730565,-,1704,0,0,0,0,0,0,0,1,0,1,0
Sntg1,chr1,8361475,9299878,-,938403,0,0,0,0,0,20,0,29,5,22,7
Gm38024,chr1,8450960,8453491,-,2531,0,0,0,0,0,1,0,0,0,0,0
Gm16284,chr1,8468426,8468825,-,399,0,0,0,0,0,1,0,1,0,0,0
Gm38259,chr1,8527780,8531313,-,3533,0,0,0,0,0,2,2,4,0,1,0
Gm23358,chr1,8588615,8588724,-,109,0,0,0,0,0,0,0,1,0,0,0
Gm37005,chr1,8643696,8644859,-,1163,0,0,0,0,0,0,0,1,0,2,1
Gm15452,chr1,8791923,8792162,-,239,4,0,0,0,1,3,2,0,0,3,1
Gm36964,chr1,8815842,8816039,+,197,6,14,6,5,9,1,2,1,4,0,1
Gm24276,chr1,8816138,8816247,+,109,5,16,13,24,14,0,1,1,2,3,9
Gm6152,chr1,8855928,8856267,-,339,0,0,0,0,0,3,0,1,0,2,0
Gm7445,chr1,8856763,8857102,+,339,0,0,0,0,0,5,0,9,1,3,0
Gm7493,chr1,8962996,8963621,-,625,0,0,0,0,0,1,3,8,3,0,4
Gm37629,chr1,9191067,9192116,-,1049,0,0,0,0,0,3,0,0,0,1,2
Gm38008,chr1,9258617,9259134,-,517,0,0,0,0,0,0,0,3,2,0,0
Gm37143,chr1,9286922,9290180,+,3258,0,0,0,0,0,0,0,5,0,0,0
Gm6187,chr1,9396773,9398687,-,1914,0,0,0,0,0,1,1,1,0,1,0
Gm18299,chr1,9439741,9440376,-,635,0,0,0,0,0,3,0,1,0,0,0
Gm7512,chr1,9450579,9451748,+,1169,0,0,0,0,0,3,0,3,0,1,2
Gm24765,chr1,9458670,9458772,+,102,0,0,0,0,0,0,0,0,0,0,0
Gm18300,chr1,9499338,9501522,-,2184,0,0,0,0,0,0,0,0,0,0,0
Rrs1,chr1,9545408,9547455,+,2047,1366,1918,1642,2032,1131,1313,2491,1427,2014,1482,1790
Adhfe1,chr1,9547948,9580673,+,32725,0,4,28,12,0,9,4,8,8,19,14
2610203C22Rik,chr1,9560832,9631175,-,70343,0,7,0,0,0,4,0,2,0,0,0
Gm6161,chr1,9574548,9575649,+,1101,0,0,0,0,0,3,2,1,1,0,1
Vxn,chr1,9601199,9627143,+,25944,0,0,0,0,0,9,0,8,1,4,1
Gm29520,chr1,9639255,9640582,-,1327,0,0,0,0,0,0,0,0,0,0,0
Mybl1,chr1,9667415,9700209,-,32794,33,0,0,13,0,1,4,8,1,3,5
Vcpip1,chr1,9718622,9748382,-,29760,1174,1563,925,2908,1766,1042,2786,1117,2599,1129,3637
1700034P13Rik,chr1,9747648,9791924,+,44276,0,0,0,18,0,6,12,5,1,5,5
Sgk3,chr1,9798107,9900845,+,102738,1088,1168,1033,1171,664,919,732,1207,803,1302,930
Gm6195,chr1,9802197,9802553,-,356,0,0,0,0,0,1,0,0,0,1,0
Gm22607,chr1,9834498,9834602,-,104,0,0,0,0,0,0,0,0,0,0,0
Mcmdc2,chr1,9908638,9942085,+,33447,0,3,2,3,0,2,0,13,6,7,3
Snhg6,chr1,9941959,9944118,-,2159,144,147,249,141,128,99,276,140,357,109,364
Snord87,chr1,9942463,9942549,-,86,0,1,0,4,0,0,3,0,9,3,3
Tcf24,chr1,9960163,9967932,-,7769,0,0,0,0,0,5,0,0,0,4,0
E330040D14Rik,chr1,9967314,9968687,+,1373,0,0,0,0,0,0,0,1,0,0,0
Ppp1r42,chr1,9968624,10009136,-,40512,0,0,0,0,0,4,0,0,1,2,0
Gm15818,chr1,9982387,9992366,+,9979,0,0,0,0,0,1,0,5,0,6,2
Gm24674,chr1,10009814,10009917,-,103,0,0,0,0,0,0,0,0,0,0,0
Cops5,chr1,10024601,10038168,-,13567,1484,1726,1408,2548,1456,1560,2488,2124,2295,2112,2847
Cspp1,chr1,10037987,10136768,+,98781,350,570,454,654,314,230,558,257,725,238,883
1700047N06Rik,chr1,10057025,10057944,-,919,0,0,0,0,0,0,0,2,1,0,5
Arfgef1,chr1,10137571,10232670,-,95099,1205,1741,896,1365,2775,1050,2894,1210,3164,1034,3993
Gm26348,chr1,10166539,10166778,+,239,0,0,0,0,0,1,5,6,3,0,2
Gm37569,chr1,10197081,10198802,-,1721,0,0,0,0,0,3,2,0,11,4,7
Cpa6,chr1,10324720,10719945,-,395225,0,0,0,0,0,38,0,38,1,19,2
Gm38005,chr1,10449245,10451989,-,2744,0,0,0,0,0,0,1,4,0,1,0
Gm15604,chr1,10554098,10555553,-,1455,0,0,0,0,0,4,2,2,3,4,0
Gm25253,chr1,10555554,10555660,-,106,0,0,0,0,0,0,0,0,0,0,0
Gm15603,chr1,10695123,10695614,+,491,0,0,0,0,0,0,0,0,0,0,0
Gm37133,chr1,10782456,10784377,-,1921,0,0,0,0,0,3,0,1,1,1,1
Gm5522,chr1,10805281,10806522,+,1241,0,0,0,0,0,2,0,2,0,1,2
Gm28659,chr1,10868688,10869446,+,758,0,2,0,0,0,8,4,3,2,5,1
Gm22963,chr1,10921670,10921760,+,90,0,0,0,0,0,0,0,0,0,0,0
Prex2,chr1,10993465,11303681,+,310216,4,0,0,0,0,18,11,31,17,25,17
Gm24173,chr1,11134111,11134238,-,127,0,0,0,0,0,0,0,0,0,0,0
Gm28686,chr1,11223566,11224174,-,608,0,0,0,0,1,4,0,2,1,2,0
Gm37410,chr1,11363926,11366964,-,3038,0,0,0,0,0,0,0,7,0,4,0
A830018L16Rik,chr1,11414105,11975901,+,561796,0,0,0,0,0,4,0,16,1,10,0
Gm38178,chr1,11416918,11419388,+,2470,0,0,0,0,0,5,0,6,0,6,1
Gm29273,chr1,11608139,11608400,-,261,0,0,0,0,0,0,0,1,0,3,0
Gm38069,chr1,11704207,11706350,+,2143,0,0,0,0,0,1,0,14,2,4,12
Gm7560,chr1,12120960,12121832,+,872,2,1,2,1,0,35,4,39,5,16,2
Gm22633,chr1,12374936,12375042,+,106,0,0,0,0,0,2,0,0,0,2,0
Mir6341,chr1,12425986,12426106,+,120,0,0,0,0,0,0,0,0,0,0,0
Gm2383,chr1,12565577,12566383,+,806,2,1,1,2,2,2,1,0,1,3,4
Gm6216,chr1,12655867,12656553,+,686,0,0,0,0,0,0,0,13,3,11,0
Gm17644,chr1,12667563,12673090,+,5527,0,0,0,0,0,1,0,1,0,1,2
Gm29663,chr1,12670324,12671176,-,852,0,0,0,0,0,0,0,0,0,0,0
Sulf1,chr1,12692277,12861192,+,168915,0,0,0,0,0,11,3,35,5,22,6
Slco5a1,chr1,12866549,12992650,-,126101,0,0,0,0,0,8,0,23,4,10,5
Gm37162,chr1,13059401,13059951,-,550,0,0,0,0,0,1,0,8,1,0,0
Gm5250,chr1,13062025,13062345,+,320,0,0,0,0,0,0,0,2,1,1,0
Gm29283,chr1,13068838,13078662,+,9824,0,0,0,0,0,0,0,0,0,0,0
Prdm14,chr1,13113457,13127163,-,13706,0,0,0,0,0,13,0,16,7,4,5
Ncoa2,chr1,13139105,13374083,-,234978,684,1020,740,1708,1549,1022,3059,1413,2731,1140,3550
Gm38376,chr1,13177462,13179714,-,2252,2,0,0,0,0,12,12,19,26,14,64
Gm37409,chr1,13234809,13236434,-,1625,0,0,9,0,8,17,23,2,40,4,44
Gm27881,chr1,13262198,13262279,+,81,0,7,0,0,0,0,1,0,0,0,0
Gm38223,chr1,13289812,13290506,-,694,0,0,0,0,0,1,5,4,7,1,9
Gm37702,chr1,13297036,13298907,-,1871,0,0,0,0,0,0,0,2,9,2,12
Gm23169,chr1,13334498,13334609,-,111,0,0,0,0,0,0,0,0,0,0,0
Gm38120,chr1,13343563,13348204,-,4641,0,22,83,35,0,6,24,23,45,15,63
Gm38380,chr1,13354483,13356730,-,2247,19,0,1,1,5,18,40,19,88,3,88
Gm29570,chr1,13376070,13388413,+,12343,0,0,0,0,0,1,0,0,0,1,0
Gm7593,chr1,13407012,13407655,-,643,0,0,0,0,0,0,0,0,0,2,1
Tram1,chr1,13564698,13589910,-,25212,9253,11487,7893,13471,10763,5524,11497,6203,9035,6198,12616
Lactb2,chr1,13623330,13660546,-,37216,556,660,504,647,746,215,463,218,489,231,508
Gm38319,chr1,13641483,13642748,-,1265,0,7,5,9,0,17,56,12,53,27,62
Xkr9,chr1,13668771,13701723,+,32952,0,0,0,0,0,1,0,0,0,0,0
Gm26273,chr1,13774334,13774464,-,130,0,0,0,0,0,0,0,1,0,0,0
Gm5523,chr1,13785883,13786879,-,996,3,0,1,1,2,15,5,23,5,4,4
Gm36947,chr1,13846871,13849119,-,2248,0,0,0,0,0,1,0,0,0,0,0
Gm25491,chr1,13932378,13932685,+,307,0,0,0,0,0,1,0,9,0,2,0
Gm37400,chr1,14109215,14112819,-,3604,0,0,0,0,0,0,0,3,0,2,2
Eya1,chr1,14168954,14310235,-,141281,0,0,0,0,0,5,0,18,3,15,9
Gm22616,chr1,14182578,14182677,+,99,0,0,0,0,0,0,0,0,0,0,0
Gm37444,chr1,14255552,14255990,-,438,0,0,0,0,0,2,0,6,0,4,1
Gm9947,chr1,14752937,14776931,+,23994,10,0,0,0,0,0,0,1,0,1,0
Msc,chr1,14753346,14755992,-,2646,78,0,0,36,253,0,0,2,0,3,0
Gm37412,chr1,14788645,14792965,+,4320,0,0,0,0,0,6,0,3,0,15,0
Smt3h2-ps4,chr1,14839869,14840156,-,287,1,1,0,1,0,0,0,2,3,2,0
Rpl5-ps1,chr1,14865072,14865965,+,893,8,6,10,13,6,12,10,28,8,7,12
Trpa1,chr1,14872648,14918862,-,46214,0,0,0,0,0,11,0,29,0,22,2
Gm26345,chr1,15019040,15019159,-,119,0,0,0,0,0,0,0,0,0,0,0
Gm10566,chr1,15268802,15269797,-,995,5,4,5,3,1,19,3,8,5,5,8
Kcnb2,chr1,15287254,15723750,+,436496,0,0,0,0,0,2,0,6,0,5,3
Gm38116,chr1,15364302,15365834,+,1532,0,0,0,0,0,1,0,2,0,2,0
Gm37138,chr1,15556249,15558337,+,2088,0,0,0,0,0,0,0,0,0,5,0
Gm25227,chr1,15685935,15686046,-,111,0,0,0,0,0,6,0,2,0,7,1
Gm25168,chr1,15757832,15757963,+,131,0,0,0,0,0,0,0,0,0,3,2
Gm6060,chr1,15760122,15760668,-,546,0,0,0,0,1,3,6,6,1,9,0
Gm28669,chr1,15760761,15760860,+,99,0,0,0,0,0,0,0,0,0,0,0
Terf1,chr1,15805646,15844052,+,38406,1071,1471,1338,1582,1090,453,1149,566,1239,594,1434
Gm37509,chr1,15853331,15856499,+,3168,0,0,0,0,0,0,0,2,0,0,1
Sbspon,chr1,15853862,15892722,-,38860,0,0,0,0,17,0,2,2,0,4,0
Gm23259,chr1,15879530,15879832,+,302,0,0,0,0,0,3,0,6,0,4,0
Gm7634,chr1,16053335,16053887,+,552,0,0,0,0,0,1,2,6,0,0,2
4930444P10Rik,chr1,16065979,16093325,-,27346,0,0,0,0,0,6,0,3,2,5,1
Rpl7,chr1,16101295,16104662,-,3367,8878,14317,14910,17426,12333,16926,18951,20757,16174,20450,16990
Rdh10,chr1,16105774,16133734,+,27960,77,157,245,53,172,154,154,152,169,112,183
Gm38249,chr1,16208197,16210517,-,2320,0,0,0,0,0,5,0,1,0,1,1
Gm28095,chr1,16228506,16244062,+,15556,0,0,0,0,0,2,0,3,0,0,0
Stau2,chr1,16228674,16520112,-,291438,0,5,45,0,39,6,5,10,4,5,13
Gm7568,chr1,16253592,16267921,+,14329,0,0,0,0,0,2,0,4,0,1,1
Ube2w,chr1,16540790,16619489,-,78699,979,709,581,741,1160,438,583,471,538,535,775
Gm38342,chr1,16618560,16621539,+,2979,20,0,0,8,10,14,19,3,10,14,5
Eloc,chr1,16641725,16657042,-,15317,1628,2169,2069,2586,2362,1036,1688,1233,1518,1348,2148
D030040B21Rik,chr1,16657552,16662278,+,4726,0,0,0,0,0,1,0,0,4,2,0
Gm7654,chr1,16662980,16663662,-,682,0,0,0,0,0,0,0,0,0,0,0
Tmem70,chr1,16665207,16678275,+,13068,1569,1403,1086,1862,1016,1017,1582,1200,1377,1113,1691
Ly96,chr1,16688051,16709611,+,21560,67,44,116,64,139,22,82,18,72,39,144
Gm29649,chr1,16758205,16758623,-,418,0,0,0,0,0,0,0,0,0,0,0
Gm5828,chr1,16768279,16770138,-,1859,8,4,3,6,3,30,23,49,16,28,17
Gm28376,chr1,16898185,17091631,+,193446,0,0,0,0,0,0,0,0,0,0,0
4921511E07Rik,chr1,16930970,16931796,+,826,0,0,0,0,0,0,0,4,0,0,0
Jph1,chr1,16964560,17097889,-,133329,0,0,0,0,0,9,0,13,0,6,1
Gm28783,chr1,17124747,17128956,+,4209,0,0,0,0,0,0,0,2,0,1,0
Gdap1,chr1,17145362,17164271,+,18909,0,0,0,0,0,21,1,40,1,15,7
Gm28784,chr1,17168403,17173103,+,4700,0,0,0,0,0,1,0,6,0,0,1
Gm28785,chr1,17250114,17250492,-,378,0,0,0,0,0,3,0,9,0,2,0
Gm5251,chr1,17394958,17395429,+,471,0,0,0,0,0,0,0,0,3,2,0
Rbm6-ps1,chr1,17397412,17400281,-,2869,3,3,1,1,5,4,9,7,12,12,9
Gm6075,chr1,17429043,17429528,-,485,3,2,2,3,5,6,1,8,3,6,3
Gm25166,chr1,17520001,17520111,+,110,0,0,0,0,0,0,0,2,0,0,0
Pi15,chr1,17601901,17630939,+,29038,0,0,0,0,0,9,0,37,3,9,9
Gm28154,chr1,17615084,17641081,-,25997,0,0,0,0,0,2,0,5,0,2,1
Gm16070,chr1,17676027,17727646,-,51619,0,0,0,0,0,3,2,8,4,6,2
Crispld1,chr1,17727045,17766344,+,39299,0,0,0,0,0,2,2,1,0,5,12
Gm28153,chr1,17741915,17805417,-,63502,0,0,0,0,0,6,0,3,1,2,0
Gm7690,chr1,17947041,17948439,+,1398,0,0,0,0,0,2,0,1,1,2,1
Gm18775,chr1,17993010,17999622,-,6612,0,0,0,0,0,0,0,0,0,0,0
Gm17969,chr1,17993813,17997483,+,3670,0,0,0,0,0,2,0,2,0,0,0
Gm28756,chr1,17994462,18059056,-,64594,0,0,0,0,0,0,0,5,0,2,0
Gm28755,chr1,18005961,18016186,-,10225,0,0,0,0,0,0,0,1,0,0,0
Gm45784,chr1,18048100,18058269,-,10169,0,0,0,0,0,0,0,0,0,0,0
Crisp4,chr1,18115191,18145902,-,30711,0,0,0,0,0,17,0,17,0,4,1
Defb44-ps,chr1,18210053,18223564,-,13511,0,0,0,0,0,0,0,0,0,0,0
Defb18,chr1,18236473,18237443,-,970,0,0,0,0,0,0,0,0,0,0,0
Defb41,chr1,18250980,18265138,-,14158,0,0,0,0,0,2,0,0,0,0,0
Gm17837,chr1,18262395,18263379,-,984,0,0,0,0,0,4,0,0,1,0,0
Gm5252,chr1,18708428,18709336,+,908,0,0,0,0,0,3,0,3,6,2,0
Gm24075,chr1,18969762,18969833,-,71,0,0,0,0,0,0,0,1,0,0,0
Gm28343,chr1,19037266,19037377,+,111,0,0,0,0,0,0,0,8,0,0,2
Gm28344,chr1,19062857,19063135,+,278,0,0,0,0,0,0,0,0,0,0,0
Gm15825,chr1,19063300,19104840,-,41540,0,0,0,0,0,0,0,0,0,0,1
Tfap2d,chr1,19103022,19166346,+,63324,0,0,0,0,0,3,0,1,0,2,0
Gm10075,chr1,19153422,19153966,-,544,1,7,1,2,0,8,5,7,5,6,8
Tfap2b,chr1,19208914,19238576,+,29662,0,0,0,0,0,2,1,7,2,2,1
Gm28340,chr1,19242725,19243769,+,1044,0,0,0,0,0,0,0,0,0,0,0
Gm28341,chr1,19320226,19320697,-,471,0,0,0,0,0,0,0,1,0,0,0
Gm4849,chr1,19330939,19333184,+,2245,2,3,1,5,6,3,11,10,3,4,10
Gm24633,chr1,19513855,19513919,-,64,0,0,0,0,0,11,0,2,0,2,0
Gm38382,chr1,19614269,19616767,+,2498,0,0,0,0,0,0,0,0,0,0,0
Pkhd1,chr1,20057779,20618064,-,560285,0,0,0,0,0,101,3,132,21,121,39
Gm37315,chr1,20062070,20065548,-,3478,0,0,0,0,0,1,0,4,0,2,0
4930486I03Rik,chr1,20356452,20392300,+,35848,0,0,0,0,0,0,0,1,0,0,0
Gm15795,chr1,20444258,20444810,-,552,0,0,0,0,0,0,0,1,0,1,1
Gm24162,chr1,20444811,20444912,-,101,0,0,0,0,0,0,0,0,0,0,0
Gm28653,chr1,20669882,20684298,+,14416,0,0,0,0,0,3,0,6,1,1,0
Mir206,chr1,20679010,20679082,+,72,0,0,0,0,0,0,0,0,0,0,0
Mir133b,chr1,20682769,20682887,+,118,0,0,0,0,0,0,0,0,0,0,0
Il17a,chr1,20730905,20734496,+,3591,0,0,0,0,0,0,0,2,0,2,0
Il17f,chr1,20777146,20790617,-,13471,0,0,0,0,0,9,0,7,1,15,2
Mcm3,chr1,20802968,20820312,-,17344,4718,6340,1799,2840,3236,4119,6182,4962,4238,4855,6854
Gm20587,chr1,20821331,20822516,+,1185,0,0,0,0,0,1,0,1,2,8,5
Gm28065,chr1,20836661,20839689,+,3028,0,0,0,0,0,6,0,14,1,8,4
Gm24723,chr1,20842535,20842666,-,131,0,0,0,0,0,0,0,0,0,1,0
6720483E21Rik,chr1,20888650,20890473,-,1823,0,24,0,0,0,0,1,6,1,0,1
Paqr8,chr1,20890606,20939650,+,49044,1,249,75,134,436,125,190,149,194,123,200
Gm24171,chr1,20915410,20915540,-,130,0,0,0,0,0,0,0,1,0,0,1
Gm28064,chr1,20945711,20946914,+,1203,0,0,0,0,0,0,0,1,0,0,0
Efhc1,chr1,20951626,20990841,+,39215,0,0,0,10,0,17,10,11,17,22,13
Tram2,chr1,20996299,21079229,-,82930,45,98,183,83,36,138,330,147,251,109,356
Gm28287,chr1,21080114,21081748,+,1634,0,0,0,0,0,0,0,0,0,0,0
Gm2693,chr1,21178988,21187427,+,8439,0,0,0,0,0,2,0,2,1,0,0
Tmem14a,chr1,21218575,21230167,+,11592,47,17,37,47,0,56,79,77,84,61,107
Gm38224,chr1,21234722,21236821,+,2099,1,0,0,0,0,4,0,3,3,5,0
Gsta3,chr1,21240589,21265661,+,25072,0,0,0,0,0,8,4,9,7,18,4
Gm28836,chr1,21250359,21271593,-,21234,0,0,0,0,0,2,2,1,0,1,3
Gm7094,chr1,21272403,21272906,+,503,0,0,0,0,0,0,1,0,0,0,0
Gm4956,chr1,21285246,21298312,-,13066,79,124,153,195,130,30,238,117,277,96,362
Gm21909,chr1,21312517,21316320,-,3803,0,0,0,0,0,0,0,1,0,2,0
Khdc1a,chr1,21349641,21352200,+,2559,0,0,0,0,0,0,0,2,0,2,0
Gm16329,chr1,21354005,21355116,+,1111,0,0,0,0,0,0,0,2,0,0,0
Gm16327,chr1,21364803,21365030,+,227,0,0,0,0,0,7,0,8,2,7,1
Khdc1c,chr1,21368331,21370845,+,2514,0,0,0,0,0,3,0,0,0,1,0
Gm2709,chr1,21372670,21373764,+,1094,0,0,0,0,0,1,0,4,0,2,0
Gm16533,chr1,21379555,21379782,+,227,0,0,0,0,0,0,0,0,0,0,0
Khdc1b,chr1,21383556,21386373,+,2817,0,0,0,0,0,28,0,21,1,6,5
Gm16328,chr1,21390906,21391101,+,195,0,0,0,0,0,3,0,8,0,1,1
Kcnq5,chr1,21398403,21961942,-,563539,56,57,20,117,83,19,427,26,445,16,505
Gm36949,chr1,21454691,21457017,-,2326,0,0,0,0,0,8,19,21,21,23,22
Gm7658,chr1,21511933,21513056,-,1123,51,40,15,41,43,54,75,62,78,105,60
Gm38243,chr1,21838948,21840514,-,1566,0,0,0,0,0,4,3,6,20,1,16
Gm5696,chr1,22030064,22030615,-,551,1,0,0,0,1,4,8,2,9,3,5
Gm28239,chr1,22237849,22238295,+,446,0,0,0,0,0,0,0,0,0,0,0
Rims1,chr1,22286251,22805994,-,519743,0,0,0,0,0,0,0,0,0,0,0
Gm26866,chr1,22740764,22741565,+,801,0,0,0,0,0,0,0,0,0,0,0
Gm7761,chr1,22984863,22987125,-,2262,0,0,0,0,0,3,0,5,0,2,0
Gm29506,chr1,23048295,23235673,-,187378,0,0,0,0,0,2,0,3,1,1,0
